-1,35.00,0.00,75.00,70.57,11.00,3.14,0.00,884.00,16.04,-25.55,0.16,-10.44
-1,86.00,0.00,66.00,66.53,15.18,3.27,0.00,-914.82,18.86,9.80,-1.72,0.62
-1,20.00,0.00,76.00,92.48,16.39,2.34,1.00,-89.25,37.07,89.32,0.66,-13.15
1,17.00,0.00,66.30,41.13,11.50,0.12,0.00,865.89,-0.96,-46.63,-0.24,10.41
-1,44.00,0.00,91.00,71.40,15.84,2.58,0.00,-364.75,16.64,-81.57,-0.60,-11.56
-1,51.00,0.00,87.00,60.38,14.34,3.96,0.00,-183.36,6.57,60.65,0.66,-6.76
-1,33.00,0.00,74.00,92.16,17.32,3.03,0.00,-700.47,6.10,-40.24,-1.31,-12.05
1,10.00,0.00,34.00,38.03,12.28,5.53,1.00,-89.59,16.03,41.40,-1.01,-6.20
-1,32.00,1.00,45.00,75.36,11.88,3.83,1.00,-559.96,2.12,8.95,0.50,-13.09
-1,8.00,1.00,24.00,85.13,20.19,3.66,1.00,830.80,7.27,-77.04,-1.40,-10.58
-1,9.00,0.00,37.00,81.26,18.85,1.48,1.00,36.21,23.21,97.61,0.97,-6.70
1,35.00,1.00,51.00,52.36,16.21,5.70,0.00,-421.34,9.39,30.04,0.09,11.07
-1,61.00,1.00,69.00,86.38,20.09,3.19,0.00,909.72,11.08,15.84,0.20,-18.86
-1,25.00,0.00,85.00,61.19,22.51,4.37,0.00,840.81,1.62,10.54,-0.71,4.23
-1,61.00,1.00,45.00,77.88,21.52,2.37,0.00,-747.44,5.58,45.67,0.61,-18.80
-1,43.00,0.00,78.00,75.91,21.12,4.38,0.00,-732.09,17.23,-82.14,-1.72,-8.81
-1,55.00,1.00,75.00,86.68,19.03,3.39,1.00,-129.80,15.98,-24.15,-1.13,-4.17
-1,24.00,1.00,85.00,81.37,25.37,1.43,0.00,540.41,7.46,96.42,-0.14,-0.09
-1,52.00,1.00,64.00,58.93,22.82,4.10,0.00,-616.08,17.64,-56.47,-0.12,-11.50
-1,31.00,1.00,50.00,70.98,12.06,2.80,0.00,-634.36,4.96,88.37,-0.79,-5.11
-1,92.00,1.00,70.00,73.69,22.55,3.41,0.00,-617.84,14.47,83.75,2.04,-36.32
-1,15.00,1.00,59.00,88.69,15.01,4.14,0.00,-909.99,13.80,70.67,-1.74,-18.32
-1,2.00,1.00,10.00,77.61,13.96,2.45,0.00,702.67,10.48,4.93,-0.20,-6.56
-1,11.00,0.00,47.00,80.48,20.64,2.82,1.00,269.65,20.90,-4.68,-0.30,-25.24
1,55.00,1.00,51.85,58.73,12.56,0.34,1.00,-878.25,1.47,19.71,0.01,-9.59
1,28.00,1.00,44.20,43.08,14.40,6.78,1.00,960.70,19.13,97.55,1.05,-9.08
1,11.00,1.00,34.85,53.97,11.16,-0.09,0.00,-63.53,-5.97,-14.52,1.20,7.88
-1,48.00,0.00,66.00,74.34,23.57,4.43,0.00,332.55,8.58,21.27,0.85,-11.44
-1,46.00,1.00,70.00,74.90,22.63,1.47,1.00,741.69,26.65,33.64,-2.08,-23.95
-1,73.00,0.00,66.00,64.30,21.91,4.54,1.00,361.76,5.47,-22.32,-0.26,1.24
1,17.00,1.00,30.60,30.69,11.03,-0.13,0.00,-965.63,17.22,-25.59,1.65,-12.07
-1,36.00,1.00,56.00,63.99,16.21,2.21,0.00,-368.49,22.17,41.83,-0.55,9.04
-1,11.00,0.00,47.00,66.07,21.56,3.63,0.00,-776.76,15.46,-85.86,-0.96,4.19
1,9.00,0.00,28.05,59.32,11.99,1.75,1.00,-537.21,5.78,55.72,0.37,-13.67
1,30.00,0.00,63.75,60.84,16.94,4.91,1.00,706.59,28.15,-48.12,-1.03,-17.34
-1,19.00,1.00,70.00,85.70,15.12,3.15,0.00,-829.87,16.88,-24.53,2.42,-11.24
-1,45.00,0.00,96.00,73.74,20.95,0.53,0.00,952.92,-2.21,52.59,0.59,-16.12
-1,65.00,0.00,67.00,73.81,15.64,1.92,1.00,-64.05,-11.47,-74.43,0.86,-13.08
1,37.00,1.00,37.40,39.33,17.63,7.68,1.00,-345.08,23.31,-7.38,1.72,-9.85
1,45.00,1.00,62.05,61.09,1.96,4.88,0.00,161.17,15.43,45.56,0.63,-6.99
-1,12.00,1.00,35.00,91.72,16.03,1.90,1.00,172.63,2.18,43.66,-0.98,-21.11
-1,30.00,1.00,78.00,66.30,14.41,3.94,0.00,-513.33,-5.27,58.43,-0.04,-7.11
-1,67.00,1.00,61.00,87.50,16.64,2.99,1.00,-711.85,22.63,4.01,-0.54,-15.79
-1,5.00,1.00,15.00,95.04,12.08,3.38,1.00,419.32,6.60,-73.44,1.49,-2.55
-1,54.00,0.00,68.00,73.37,7.04,2.70,0.00,271.03,14.01,70.84,0.01,-8.69
-1,2.00,1.00,9.00,61.21,16.56,4.10,1.00,-262.74,8.93,36.99,-0.89,1.99
-1,15.00,1.00,54.00,80.67,19.48,4.10,0.00,-219.56,6.09,-14.25,-1.12,-12.51
-1,12.00,1.00,41.00,73.53,21.92,1.42,1.00,350.60,4.38,92.56,1.44,-11.91
1,12.00,0.00,43.35,65.51,8.74,-1.25,1.00,-917.60,15.81,96.91,-0.97,1.45
1,34.00,0.00,68.85,58.32,14.62,5.16,0.00,365.49,13.85,22.81,0.16,-24.60
-1,7.00,1.00,30.00,83.89,10.59,3.56,1.00,935.46,4.86,-81.22,0.52,0.78
-1,17.00,1.00,46.00,66.69,12.76,1.98,1.00,-918.54,24.46,63.74,1.16,3.89
-1,8.00,0.00,33.00,87.00,15.27,3.12,0.00,44.40,15.46,-56.20,-1.00,-24.48
-1,41.00,1.00,64.00,74.59,10.83,3.81,1.00,439.74,33.50,-58.47,0.14,-15.11
-1,15.00,0.00,66.00,60.74,14.57,1.95,0.00,-945.93,13.74,19.43,1.21,-13.26
-1,24.00,0.00,69.00,66.88,17.78,3.69,1.00,-91.87,29.13,-39.22,-1.28,-8.79
-1,5.00,0.00,29.00,66.22,23.57,1.81,0.00,793.43,9.34,83.71,0.59,-11.16
-1,52.00,0.00,82.00,72.53,14.74,1.62,0.00,764.12,-3.92,-19.86,0.03,-15.49
-1,35.00,0.00,68.00,80.19,25.42,3.59,1.00,-608.66,3.80,-60.67,-0.83,-20.61
-1,33.00,1.00,51.00,101.62,26.09,3.75,0.00,-685.74,10.24,51.86,-0.94,-21.55
-1,31.00,0.00,86.00,68.67,13.74,3.01,0.00,925.38,23.07,-14.40,0.75,-10.94
1,11.00,1.00,39.10,69.54,11.18,0.31,1.00,459.49,-4.41,45.94,-1.73,-12.85
